"age";"job";"marital";"education";"default";"balance";"housing";"loan";"contact";"day";"month";"duration";"campaign";"pdays";"previous";"poutcome";"y"
26;"management";"single";"tertiary";"no";47;"yes";"no";"cellular";18;"may";63;1;-1;0;"unknown";"no"
33;"blue-collar";"married";"secondary";"no";2761;"yes";"no";"cellular";18;"may";325;1;-1;0;"unknown";"no"
30;"technician";"married";"secondary";"no";-146;"yes";"yes";"cellular";18;"may";167;1;-1;0;"unknown";"no"
26;"blue-collar";"married";"secondary";"no";1702;"yes";"yes";"cellular";18;"may";21;1;-1;0;"unknown";"no"
33;"management";"divorced";"tertiary";"no";47;"no";"no";"cellular";18;"may";47;3;178;3;"failure";"no"
58;"blue-collar";"married";"secondary";"no";1859;"yes";"no";"cellular";18;"may";277;2;264;5;"failure";"no"
32;"technician";"single";"secondary";"no";55;"yes";"no";"cellular";18;"may";185;1;-1;0;"unknown";"no"
33;"technician";"single";"tertiary";"no";8047;"yes";"no";"cellular";18;"may";202;1;263;13;"failure";"no"
40;"services";"married";"secondary";"no";278;"yes";"no";"cellular";18;"may";9;5;-1;0;"unknown";"no"
55;"blue-collar";"married";"secondary";"no";3917;"yes";"no";"cellular";18;"may";565;1;-1;0;"unknown";"yes"
34;"blue-collar";"married";"secondary";"no";243;"yes";"no";"cellular";18;"may";507;1;-1;0;"unknown";"yes"
52;"admin.";"single";"unknown";"no";872;"yes";"no";"telephone";18;"may";82;6;335;1;"other";"no"
22;"student";"single";"secondary";"no";330;"yes";"no";"cellular";18;"may";105;1;-1;0;"unknown";"no"
42;"management";"married";"unknown";"no";933;"no";"no";"cellular";18;"may";212;1;-1;0;"unknown";"no"
34;"blue-collar";"married";"unknown";"no";201;"yes";"no";"cellular";18;"may";78;1;-1;0;"unknown";"no"
30;"technician";"single";"tertiary";"no";1922;"yes";"no";"cellular";18;"may";546;1;-1;0;"unknown";"no"
29;"services";"single";"secondary";"no";-287;"yes";"no";"cellular";18;"may";196;1;-1;0;"unknown";"no"
28;"admin.";"single";"secondary";"no";352;"yes";"yes";"cellular";18;"may";431;1;-1;0;"unknown";"yes"
32;"blue-collar";"married";"secondary";"no";-667;"yes";"no";"cellular";18;"may";152;7;349;1;"other";"no"
32;"admin.";"married";"secondary";"no";97;"yes";"no";"cellular";18;"may";165;2;364;1;"success";"no"
30;"blue-collar";"single";"secondary";"no";1165;"yes";"no";"cellular";18;"may";365;2;-1;0;"unknown";"no"
30;"management";"married";"tertiary";"no";168;"yes";"no";"cellular";18;"may";229;2;355;1;"failure";"no"
33;"admin.";"single";"secondary";"no";1430;"yes";"no";"cellular";18;"may";74;3;349;2;"other";"no"
