"age";"job";"marital";"education";"default";"balance";"housing";"loan";"contact";"day";"month";"duration";"campaign";"pdays";"previous";"poutcome";"y"
43;"housemaid";"single";"primary";"no";1354;"no";"no";"unknown";17;"jun";183;2;-1;0;"unknown";"no"
55;"admin.";"divorced";"secondary";"no";0;"no";"no";"unknown";17;"jun";76;2;-1;0;"unknown";"no"
39;"technician";"married";"secondary";"no";-184;"no";"yes";"unknown";17;"jun";185;3;-1;0;"unknown";"no"
59;"services";"married";"primary";"no";124;"no";"no";"unknown";17;"jun";41;2;-1;0;"unknown";"no"
56;"retired";"married";"primary";"no";1126;"no";"no";"unknown";17;"jun";39;3;-1;0;"unknown";"no"
49;"unknown";"single";"tertiary";"no";2226;"no";"no";"unknown";17;"jun";138;3;-1;0;"unknown";"no"
37;"services";"divorced";"secondary";"no";9;"yes";"yes";"unknown";17;"jun";411;6;-1;0;"unknown";"no"
51;"technician";"married";"tertiary";"no";1911;"yes";"yes";"unknown";17;"jun";394;3;-1;0;"unknown";"no"
51;"self-employed";"divorced";"tertiary";"no";5244;"no";"no";"unknown";17;"jun";266;2;-1;0;"unknown";"no"
54;"retired";"married";"secondary";"no";1614;"yes";"no";"unknown";17;"jun";534;4;-1;0;"unknown";"no"
52;"services";"married";"tertiary";"no";2801;"yes";"yes";"unknown";17;"jun";311;2;-1;0;"unknown";"no"
38;"unemployed";"married";"secondary";"no";926;"no";"no";"unknown";17;"jun";705;5;-1;0;"unknown";"no"
54;"technician";"single";"secondary";"no";770;"no";"no";"unknown";17;"jun";89;2;-1;0;"unknown";"no"
58;"blue-collar";"married";"primary";"no";5279;"yes";"no";"unknown";17;"jun";93;6;-1;0;"unknown";"no"
55;"self-employed";"divorced";"secondary";"no";148;"no";"no";"unknown";17;"jun";847;3;-1;0;"unknown";"no"
28;"blue-collar";"married";"primary";"no";0;"yes";"yes";"unknown";17;"jun";273;27;-1;0;"unknown";"no"
46;"services";"married";"primary";"no";741;"no";"no";"unknown";17;"jun";161;3;-1;0;"unknown";"no"
49;"technician";"married";"secondary";"no";788;"no";"no";"unknown";17;"jun";162;7;-1;0;"unknown";"no"
50;"admin.";"married";"primary";"no";276;"no";"yes";"unknown";17;"jun";641;6;-1;0;"unknown";"no"
38;"services";"divorced";"secondary";"no";-10;"yes";"no";"unknown";17;"jun";61;2;-1;0;"unknown";"no"
37;"management";"single";"tertiary";"yes";-25;"no";"no";"unknown";17;"jun";136;2;-1;0;"unknown";"no"
57;"housemaid";"married";"primary";"no";0;"no";"no";"unknown";17;"jun";187;2;-1;0;"unknown";"no"
43;"management";"married";"secondary";"no";392;"no";"no";"unknown";17;"jun";332;5;-1;0;"unknown";"no"
39;"entrepreneur";"married";"secondary";"no";156;"no";"yes";"unknown";17;"jun";76;2;-1;0;"unknown";"no"
37;"admin.";"divorced";"secondary";"yes";-302;"no";"no";"unknown";17;"jun";406;3;-1;0;"unknown";"no"
38;"admin.";"divorced";"secondary";"no";156;"yes";"no";"unknown";17;"jun";544;3;-1;0;"unknown";"no"
36;"blue-collar";"single";"tertiary";"no";3649;"yes";"no";"unknown";17;"jun";756;2;-1;0;"unknown";"no"
38;"services";"single";"unknown";"no";1610;"yes";"no";"unknown";17;"jun";76;6;-1;0;"unknown";"no"
50;"services";"married";"secondary";"no";1321;"no";"no";"unknown";17;"jun";271;2;-1;0;"unknown";"no"
53;"retired";"married";"primary";"no";232;"yes";"yes";"unknown";17;"jun";203;2;-1;0;"unknown";"no"
50;"management";"single";"tertiary";"no";267;"no";"no";"unknown";17;"jun";338;2;-1;0;"unknown";"no"
53;"technician";"married";"unknown";"no";619;"no";"no";"unknown";17;"jun";198;6;-1;0;"unknown";"no"
46;"blue-collar";"divorced";"primary";"no";358;"no";"no";"unknown";17;"jun";259;2;-1;0;"unknown";"no"
36;"management";"single";"tertiary";"no";171;"no";"no";"unknown";17;"jun";398;4;-1;0;"unknown";"no"
55;"management";"married";"tertiary";"no";913;"no";"no";"unknown";17;"jun";462;5;-1;0;"unknown";"no"
59;"entrepreneur";"divorced";"unknown";"no";0;"no";"no";"unknown";17;"jun";956;2;-1;0;"unknown";"no"
58;"housemaid";"married";"primary";"no";3957;"no";"no";"unknown";17;"jun";76;4;-1;0;"unknown";"no"
39;"blue-collar";"married";"primary";"no";1551;"no";"no";"unknown";17;"jun";264;16;-1;0;"unknown";"no"
38;"entrepreneur";"married";"secondary";"no";197;"no";"no";"unknown";17;"jun";979;9;-1;0;"unknown";"no"
43;"housemaid";"married";"secondary";"no";618;"no";"no";"unknown";17;"jun";89;4;-1;0;"unknown";"no"
39;"blue-collar";"married";"primary";"no";-119;"no";"no";"unknown";17;"jun";135;6;-1;0;"unknown";"no"
52;"technician";"married";"secondary";"no";1490;"no";"yes";"unknown";17;"jun";420;4;-1;0;"unknown";"no"
56;"blue-collar";"married";"primary";"no";288;"no";"no";"unknown";17;"jun";548;3;-1;0;"unknown";"no"
36;"blue-collar";"married";"secondary";"no";1409;"no";"no";"unknown";17;"jun";235;2;-1;0;"unknown";"no"
52;"technician";"married";"secondary";"no";851;"no";"no";"unknown";17;"jun";87;2;-1;0;"unknown";"no"
43;"technician";"married";"secondary";"no";236;"no";"no";"unknown";17;"jun";169;4;-1;0;"unknown";"no"
