"age";"job";"marital";"education";"default";"balance";"housing";"loan";"contact";"day";"month";"duration";"campaign";"pdays";"previous";"poutcome";"y"
27;"admin.";"single";"unknown";"no";56;"yes";"no";"unknown";16;"may";730;2;-1;0;"unknown";"no"
32;"services";"single";"secondary";"no";358;"yes";"no";"unknown";16;"may";1144;3;-1;0;"unknown";"no"
40;"blue-collar";"married";"secondary";"no";0;"yes";"no";"unknown";16;"may";167;2;-1;0;"unknown";"no"
55;"technician";"married";"secondary";"no";2055;"yes";"no";"unknown";16;"may";1023;4;-1;0;"unknown";"no"
35;"services";"single";"secondary";"no";568;"yes";"no";"unknown";16;"may";469;2;-1;0;"unknown";"no"
32;"management";"single";"secondary";"no";0;"yes";"yes";"unknown";16;"may";385;7;-1;0;"unknown";"no"
57;"blue-collar";"married";"unknown";"no";97;"yes";"no";"unknown";16;"may";260;6;-1;0;"unknown";"no"
32;"blue-collar";"married";"primary";"no";217;"yes";"no";"unknown";16;"may";169;3;-1;0;"unknown";"no"
55;"unknown";"married";"tertiary";"no";0;"no";"no";"unknown";16;"may";409;3;-1;0;"unknown";"no"
43;"services";"married";"secondary";"no";3608;"yes";"no";"unknown";16;"may";165;6;-1;0;"unknown";"no"
42;"blue-collar";"married";"secondary";"no";388;"yes";"yes";"unknown";16;"may";437;2;-1;0;"unknown";"no"
27;"management";"single";"tertiary";"yes";0;"yes";"no";"unknown";16;"may";89;2;-1;0;"unknown";"no"
36;"services";"married";"secondary";"no";279;"no";"no";"unknown";16;"may";261;6;-1;0;"unknown";"no"
32;"admin.";"married";"secondary";"no";193;"yes";"no";"unknown";16;"may";294;4;-1;0;"unknown";"no"
53;"technician";"divorced";"secondary";"no";751;"yes";"no";"unknown";16;"may";343;4;-1;0;"unknown";"no"
34;"blue-collar";"married";"secondary";"no";305;"yes";"no";"unknown";16;"may";1245;25;-1;0;"unknown";"no"
23;"blue-collar";"single";"secondary";"no";105;"yes";"no";"unknown";16;"may";498;2;-1;0;"unknown";"no"
31;"management";"single";"tertiary";"no";548;"yes";"no";"unknown";16;"may";148;4;-1;0;"unknown";"no"
46;"services";"married";"secondary";"no";271;"yes";"no";"unknown";16;"may";134;4;-1;0;"unknown";"no"
31;"services";"married";"secondary";"no";246;"yes";"no";"unknown";16;"may";230;2;-1;0;"unknown";"no"
42;"self-employed";"married";"tertiary";"no";1932;"yes";"no";"unknown";16;"may";192;32;-1;0;"unknown";"no"
52;"self-employed";"married";"secondary";"no";1066;"yes";"no";"unknown";16;"may";65;3;-1;0;"unknown";"no"
38;"blue-collar";"married";"primary";"no";-326;"yes";"no";"unknown";16;"may";237;3;-1;0;"unknown";"no"
38;"blue-collar";"single";"primary";"no";1465;"yes";"no";"unknown";16;"may";239;2;-1;0;"unknown";"no"
60;"unemployed";"married";"primary";"no";26;"yes";"no";"unknown";16;"may";196;6;-1;0;"unknown";"no"
