"age";"job";"marital";"education";"default";"balance";"housing";"loan";"contact";"day";"month";"duration";"campaign";"pdays";"previous";"poutcome";"y"
39;"management";"divorced";"tertiary";"no";1968;"no";"no";"cellular";21;"nov";648;1;-1;0;"unknown";"yes"
35;"technician";"single";"secondary";"no";196;"yes";"no";"cellular";21;"nov";318;1;-1;0;"unknown";"no"
44;"unemployed";"single";"unknown";"no";3938;"yes";"no";"cellular";21;"nov";200;1;-1;0;"unknown";"no"
35;"blue-collar";"single";"primary";"no";2040;"no";"no";"cellular";21;"nov";258;1;157;4;"failure";"no"
41;"entrepreneur";"divorced";"tertiary";"no";285;"no";"yes";"cellular";21;"nov";158;1;-1;0;"unknown";"no"
37;"housemaid";"divorced";"secondary";"no";1040;"yes";"no";"cellular";21;"nov";567;1;184;1;"other";"no"
30;"unemployed";"divorced";"tertiary";"no";1718;"yes";"no";"cellular";21;"nov";73;4;126;2;"failure";"no"
49;"management";"married";"tertiary";"no";1105;"yes";"no";"cellular";21;"nov";13;3;113;2;"other";"no"
45;"admin.";"divorced";"secondary";"no";2519;"no";"no";"cellular";21;"nov";470;1;-1;0;"unknown";"no"
38;"services";"married";"secondary";"no";1;"no";"yes";"cellular";21;"nov";152;2;-1;0;"unknown";"no"
38;"management";"single";"tertiary";"no";8669;"yes";"no";"telephone";21;"nov";228;6;-1;0;"unknown";"no"
37;"management";"divorced";"tertiary";"yes";26;"no";"yes";"cellular";21;"nov";22;1;-1;0;"unknown";"no"
58;"housemaid";"married";"tertiary";"no";6316;"no";"no";"cellular";21;"nov";91;1;-1;0;"unknown";"no"
52;"housemaid";"married";"secondary";"no";1752;"no";"yes";"telephone";21;"nov";346;4;123;8;"failure";"no"
41;"admin.";"married";"unknown";"no";488;"no";"no";"cellular";21;"nov";174;1;-1;0;"unknown";"no"
43;"management";"married";"tertiary";"no";0;"no";"no";"cellular";21;"nov";107;2;-1;0;"unknown";"no"
50;"self-employed";"divorced";"secondary";"no";985;"yes";"yes";"telephone";21;"nov";167;1;-1;0;"unknown";"no"
48;"housemaid";"married";"primary";"no";7195;"no";"no";"cellular";21;"nov";609;2;-1;0;"unknown";"yes"
33;"management";"divorced";"tertiary";"no";47;"no";"no";"cellular";21;"nov";86;3;-1;0;"unknown";"no"
30;"management";"single";"tertiary";"no";376;"yes";"no";"cellular";21;"nov";710;1;-1;0;"unknown";"yes"
40;"entrepreneur";"married";"tertiary";"no";2644;"yes";"no";"cellular";21;"nov";110;2;185;1;"failure";"no"
50;"admin.";"married";"secondary";"no";4117;"no";"no";"cellular";21;"nov";530;1;-1;0;"unknown";"yes"
36;"admin.";"divorced";"tertiary";"no";289;"yes";"yes";"cellular";21;"nov";73;4;-1;0;"unknown";"no"
31;"admin.";"single";"secondary";"no";3950;"yes";"no";"cellular";21;"nov";529;1;-1;0;"unknown";"yes"
31;"self-employed";"married";"tertiary";"no";5;"yes";"yes";"cellular";21;"nov";635;1;135;2;"failure";"yes"
35;"self-employed";"married";"primary";"no";2086;"yes";"no";"cellular";21;"nov";254;7;-1;0;"unknown";"no"
35;"unemployed";"married";"secondary";"yes";1054;"yes";"yes";"cellular";21;"nov";106;1;-1;0;"unknown";"no"
34;"management";"married";"tertiary";"no";6463;"yes";"no";"cellular";21;"nov";40;1;-1;0;"unknown";"no"
30;"services";"single";"secondary";"no";495;"yes";"no";"cellular";21;"nov";641;1;-1;0;"unknown";"yes"
