"age";"job";"marital";"education";"default";"balance";"housing";"loan";"contact";"day";"month";"duration";"campaign";"pdays";"previous";"poutcome";"y"
30;"entrepreneur";"married";"secondary";"no";-346;"yes";"yes";"cellular";22;"jul";88;1;-1;0;"unknown";"no"
30;"self-employed";"single";"secondary";"no";192;"no";"no";"cellular";22;"jul";423;1;-1;0;"unknown";"no"
29;"student";"single";"tertiary";"no";652;"yes";"no";"cellular";22;"jul";285;1;-1;0;"unknown";"no"
37;"admin.";"married";"secondary";"no";121;"no";"no";"cellular";22;"jul";22;6;-1;0;"unknown";"no"
53;"entrepreneur";"married";"secondary";"no";0;"yes";"no";"cellular";22;"jul";200;1;-1;0;"unknown";"no"
49;"unemployed";"married";"secondary";"no";136;"no";"yes";"cellular";22;"jul";246;1;-1;0;"unknown";"no"
40;"management";"married";"tertiary";"no";268;"yes";"no";"cellular";22;"jul";352;3;-1;0;"unknown";"no"
48;"housemaid";"married";"primary";"no";380;"yes";"no";"cellular";22;"jul";188;5;-1;0;"unknown";"no"
27;"management";"single";"tertiary";"no";3;"yes";"yes";"cellular";22;"jul";506;1;-1;0;"unknown";"no"
34;"admin.";"married";"secondary";"no";0;"no";"yes";"cellular";22;"jul";136;2;-1;0;"unknown";"no"
40;"entrepreneur";"married";"secondary";"no";0;"yes";"no";"cellular";22;"jul";117;1;-1;0;"unknown";"no"
26;"technician";"single";"secondary";"no";7;"yes";"no";"cellular";22;"jul";188;2;-1;0;"unknown";"no"
32;"management";"single";"tertiary";"no";0;"yes";"no";"cellular";22;"jul";455;2;-1;0;"unknown";"no"
33;"technician";"married";"tertiary";"no";0;"yes";"no";"cellular";22;"jul";65;1;-1;0;"unknown";"no"
45;"technician";"married";"secondary";"no";1118;"yes";"no";"telephone";22;"jul";27;1;-1;0;"unknown";"no"
37;"services";"married";"secondary";"no";0;"yes";"no";"cellular";22;"jul";272;1;-1;0;"unknown";"no"
29;"admin.";"single";"tertiary";"no";89;"yes";"no";"cellular";22;"jul";120;1;-1;0;"unknown";"no"
56;"blue-collar";"married";"secondary";"no";345;"yes";"no";"telephone";22;"jul";605;1;-1;0;"unknown";"no"
28;"self-employed";"married";"tertiary";"no";476;"no";"yes";"cellular";22;"jul";630;1;-1;0;"unknown";"no"
32;"unemployed";"married";"tertiary";"no";283;"yes";"no";"cellular";22;"jul";151;2;-1;0;"unknown";"no"
30;"management";"single";"tertiary";"no";14;"no";"yes";"cellular";22;"jul";90;1;-1;0;"unknown";"no"
54;"housemaid";"married";"primary";"no";167;"yes";"no";"cellular";22;"jul";106;2;-1;0;"unknown";"no"
57;"blue-collar";"married";"secondary";"no";0;"no";"yes";"cellular";22;"jul";127;2;-1;0;"unknown";"no"
35;"technician";"married";"tertiary";"no";328;"yes";"no";"cellular";22;"jul";654;2;-1;0;"unknown";"yes"
26;"blue-collar";"married";"primary";"no";399;"yes";"no";"cellular";22;"jul";1288;2;-1;0;"unknown";"no"
53;"management";"married";"secondary";"no";0;"yes";"yes";"cellular";22;"jul";59;1;-1;0;"unknown";"no"
60;"housemaid";"married";"primary";"no";0;"no";"yes";"telephone";22;"jul";124;1;-1;0;"unknown";"no"
28;"blue-collar";"single";"secondary";"no";1285;"no";"no";"telephone";22;"jul";29;16;-1;0;"unknown";"no"
55;"entrepreneur";"divorced";"tertiary";"no";1730;"no";"no";"cellular";22;"jul";156;3;-1;0;"unknown";"no"
45;"admin.";"married";"secondary";"no";0;"no";"no";"cellular";22;"jul";73;2;-1;0;"unknown";"no"
47;"management";"single";"tertiary";"no";-295;"no";"yes";"cellular";22;"jul";333;2;-1;0;"unknown";"no"
30;"management";"single";"tertiary";"no";77;"no";"no";"cellular";22;"jul";267;1;-1;0;"unknown";"no"
25;"admin.";"single";"secondary";"no";18;"yes";"no";"cellular";22;"jul";129;1;-1;0;"unknown";"no"
37;"technician";"married";"secondary";"no";54;"yes";"yes";"cellular";22;"jul";106;2;-1;0;"unknown";"no"
33;"admin.";"married";"secondary";"no";252;"yes";"no";"cellular";22;"jul";270;2;-1;0;"unknown";"no"
49;"blue-collar";"married";"primary";"no";247;"no";"yes";"cellular";22;"jul";283;1;-1;0;"unknown";"no"
33;"blue-collar";"married";"secondary";"no";1924;"yes";"yes";"cellular";22;"jul";81;1;-1;0;"unknown";"no"
44;"management";"married";"tertiary";"no";-199;"yes";"no";"telephone";22;"jul";261;12;-1;0;"unknown";"no"
55;"technician";"married";"tertiary";"no";255;"no";"no";"cellular";22;"jul";114;1;-1;0;"unknown";"no"
44;"technician";"single";"tertiary";"no";342;"yes";"no";"cellular";22;"jul";70;1;-1;0;"unknown";"no"
36;"management";"married";"tertiary";"no";0;"yes";"no";"cellular";22;"jul";99;1;-1;0;"unknown";"no"
50;"management";"married";"secondary";"no";-1;"no";"no";"cellular";22;"jul";139;1;-1;0;"unknown";"no"
41;"technician";"single";"tertiary";"no";145;"no";"no";"cellular";22;"jul";1833;2;-1;0;"unknown";"yes"
26;"management";"married";"tertiary";"no";877;"yes";"no";"cellular";22;"jul";611;1;-1;0;"unknown";"no"
42;"management";"divorced";"tertiary";"no";621;"no";"yes";"cellular";22;"jul";87;2;-1;0;"unknown";"no"
31;"management";"single";"tertiary";"no";78;"yes";"no";"cellular";22;"jul";369;2;-1;0;"unknown";"no"
36;"admin.";"married";"tertiary";"no";0;"yes";"no";"cellular";22;"jul";62;1;-1;0;"unknown";"no"
43;"blue-collar";"married";"primary";"yes";0;"no";"yes";"cellular";22;"jul";431;8;-1;0;"unknown";"no"
52;"management";"single";"tertiary";"no";269;"no";"yes";"cellular";22;"jul";86;1;-1;0;"unknown";"no"
30;"management";"married";"tertiary";"no";3;"yes";"no";"cellular";22;"jul";67;9;-1;0;"unknown";"no"
30;"entrepreneur";"single";"tertiary";"no";676;"no";"yes";"cellular";22;"jul";214;1;-1;0;"unknown";"no"
26;"technician";"single";"secondary";"no";1842;"yes";"yes";"cellular";22;"jul";611;1;-1;0;"unknown";"no"
34;"technician";"single";"secondary";"no";201;"no";"no";"cellular";22;"jul";257;2;-1;0;"unknown";"no"
26;"blue-collar";"married";"primary";"no";5116;"yes";"no";"cellular";22;"jul";246;3;-1;0;"unknown";"no"
30;"services";"single";"secondary";"no";311;"yes";"no";"cellular";22;"jul";654;1;-1;0;"unknown";"no"
50;"admin.";"divorced";"secondary";"no";175;"no";"no";"cellular";22;"jul";112;3;-1;0;"unknown";"no"
59;"housemaid";"married";"primary";"no";5;"no";"yes";"telephone";22;"jul";204;2;-1;0;"unknown";"no"
52;"blue-collar";"married";"secondary";"no";5275;"no";"yes";"cellular";22;"jul";1029;3;-1;0;"unknown";"no"
43;"management";"divorced";"tertiary";"no";3163;"yes";"no";"cellular";22;"jul";211;3;-1;0;"unknown";"no"
52;"technician";"married";"secondary";"no";83;"no";"no";"telephone";22;"jul";135;3;-1;0;"unknown";"no"
32;"services";"single";"tertiary";"no";143;"yes";"yes";"cellular";22;"jul";115;3;-1;0;"unknown";"no"
