"age";"job";"marital";"education";"default";"balance";"housing";"loan";"contact";"day";"month";"duration";"campaign";"pdays";"previous";"poutcome";"y"
26;"technician";"single";"secondary";"no";3244;"no";"no";"cellular";2;"feb";141;1;5;1;"failure";"no"
51;"technician";"married";"secondary";"no";1490;"yes";"no";"cellular";2;"feb";177;1;199;2;"failure";"no"
43;"technician";"married";"secondary";"no";576;"no";"no";"cellular";2;"feb";229;1;-1;0;"unknown";"no"
50;"services";"married";"secondary";"no";545;"no";"no";"cellular";2;"feb";72;1;-1;0;"unknown";"no"
49;"self-employed";"married";"secondary";"no";289;"yes";"no";"cellular";2;"feb";243;1;-1;0;"unknown";"no"
47;"admin.";"divorced";"secondary";"no";207;"yes";"no";"cellular";2;"feb";244;1;271;4;"failure";"no"
32;"admin.";"divorced";"secondary";"no";714;"no";"no";"cellular";2;"feb";221;1;-1;0;"unknown";"no"
37;"services";"divorced";"secondary";"no";490;"yes";"no";"cellular";2;"feb";73;1;-1;0;"unknown";"no"
58;"retired";"married";"unknown";"no";662;"yes";"no";"cellular";2;"feb";389;1;-1;0;"unknown";"no"
53;"services";"married";"secondary";"no";1563;"yes";"no";"cellular";2;"feb";124;2;5;1;"other";"no"
35;"technician";"married";"secondary";"no";1;"no";"no";"cellular";2;"feb";215;2;-1;0;"unknown";"no"
55;"management";"divorced";"tertiary";"no";-207;"no";"no";"cellular";2;"feb";211;1;-1;0;"unknown";"no"
49;"blue-collar";"single";"secondary";"no";-367;"yes";"no";"cellular";2;"feb";98;1;207;1;"failure";"no"
37;"technician";"single";"secondary";"no";194;"yes";"no";"cellular";2;"feb";144;1;-1;0;"unknown";"no"
57;"unemployed";"married";"primary";"no";5126;"yes";"no";"cellular";2;"feb";113;2;-1;0;"unknown";"no"
60;"technician";"married";"secondary";"no";216;"yes";"yes";"cellular";2;"feb";214;1;-1;0;"unknown";"no"
37;"admin.";"divorced";"secondary";"no";506;"yes";"no";"cellular";2;"feb";446;2;273;1;"failure";"no"
51;"technician";"divorced";"tertiary";"no";3962;"yes";"no";"cellular";2;"feb";267;1;-1;0;"unknown";"no"
36;"admin.";"single";"secondary";"no";-207;"no";"no";"cellular";2;"feb";83;1;-1;0;"unknown";"no"
39;"technician";"married";"secondary";"no";186;"no";"no";"cellular";2;"feb";171;1;-1;0;"unknown";"no"
42;"blue-collar";"married";"primary";"no";199;"yes";"no";"cellular";2;"feb";272;1;-1;0;"unknown";"no"
36;"admin.";"married";"secondary";"no";854;"yes";"no";"cellular";2;"feb";130;1;-1;0;"unknown";"no"
38;"management";"married";"tertiary";"no";106;"no";"no";"cellular";2;"feb";124;1;-1;0;"unknown";"no"
31;"technician";"single";"secondary";"yes";25;"no";"no";"cellular";2;"feb";381;1;-1;0;"unknown";"no"
39;"student";"single";"tertiary";"no";2103;"no";"no";"cellular";2;"feb";588;1;-1;0;"unknown";"yes"
56;"management";"married";"tertiary";"no";363;"no";"no";"cellular";2;"feb";49;1;-1;0;"unknown";"no"
35;"blue-collar";"single";"secondary";"no";278;"no";"no";"cellular";2;"feb";60;1;-1;0;"unknown";"no"
47;"admin.";"married";"secondary";"no";2152;"no";"no";"cellular";2;"feb";138;1;-1;0;"unknown";"no"
38;"services";"married";"secondary";"no";-301;"no";"yes";"cellular";2;"feb";182;1;-1;0;"unknown";"no"
43;"entrepreneur";"married";"primary";"no";629;"yes";"no";"cellular";2;"feb";70;3;265;4;"other";"no"
39;"blue-collar";"married";"secondary";"no";1044;"yes";"no";"cellular";2;"feb";158;1;-1;0;"unknown";"no"
40;"blue-collar";"married";"secondary";"no";123;"yes";"no";"cellular";2;"feb";247;1;241;3;"failure";"no"
45;"self-employed";"married";"tertiary";"no";430;"yes";"no";"cellular";2;"feb";221;1;206;2;"failure";"no"
48;"blue-collar";"married";"secondary";"no";578;"yes";"no";"cellular";2;"feb";70;1;250;1;"failure";"no"
42;"entrepreneur";"married";"secondary";"no";46;"no";"no";"cellular";2;"feb";1013;1;-1;0;"unknown";"no"
54;"technician";"married";"secondary";"no";306;"no";"no";"cellular";2;"feb";107;1;-1;0;"unknown";"no"
59;"retired";"single";"secondary";"no";2;"no";"no";"telephone";2;"feb";935;1;-1;0;"unknown";"yes"
45;"housemaid";"divorced";"primary";"no";221;"no";"no";"cellular";2;"feb";93;1;235;1;"failure";"no"
58;"blue-collar";"divorced";"secondary";"no";1103;"yes";"no";"cellular";2;"feb";226;1;202;4;"failure";"no"
47;"technician";"married";"secondary";"no";332;"yes";"no";"cellular";2;"feb";276;1;269;1;"success";"no"
60;"technician";"married";"secondary";"no";358;"no";"no";"cellular";2;"feb";95;1;216;2;"failure";"no"
30;"management";"married";"secondary";"no";503;"yes";"no";"cellular";2;"feb";96;1;-1;0;"unknown";"no"
35;"technician";"divorced";"secondary";"no";2823;"yes";"no";"cellular";2;"feb";229;1;-1;0;"unknown";"no"
40;"unemployed";"single";"tertiary";"no";97;"yes";"yes";"cellular";2;"feb";73;1;252;1;"failure";"no"
48;"blue-collar";"married";"unknown";"no";439;"yes";"no";"cellular";2;"feb";212;1;249;2;"other";"no"
36;"technician";"divorced";"secondary";"no";-94;"yes";"no";"cellular";2;"feb";185;1;252;2;"failure";"no"
31;"unemployed";"divorced";"tertiary";"no";256;"yes";"no";"cellular";2;"feb";264;1;201;2;"success";"no"
54;"services";"married";"secondary";"no";514;"yes";"no";"cellular";2;"feb";109;1;186;3;"failure";"no"
49;"blue-collar";"married";"primary";"no";0;"yes";"no";"cellular";2;"feb";210;1;-1;0;"unknown";"no"
46;"admin.";"divorced";"secondary";"no";0;"yes";"no";"cellular";2;"feb";149;1;-1;0;"unknown";"no"
40;"unemployed";"divorced";"secondary";"no";507;"yes";"no";"cellular";2;"feb";134;1;266;7;"failure";"no"
30;"management";"single";"tertiary";"no";604;"no";"yes";"cellular";2;"feb";475;1;-1;0;"unknown";"no"
39;"technician";"single";"secondary";"no";614;"yes";"no";"cellular";2;"feb";166;1;258;1;"failure";"no"
31;"technician";"single";"secondary";"no";44;"no";"no";"cellular";2;"feb";200;5;175;2;"failure";"no"
34;"blue-collar";"single";"secondary";"no";186;"no";"no";"cellular";2;"feb";342;1;-1;0;"unknown";"no"
31;"services";"single";"secondary";"no";469;"no";"yes";"cellular";2;"feb";111;1;-1;0;"unknown";"no"
28;"student";"single";"secondary";"no";330;"no";"no";"telephone";2;"feb";197;1;-1;0;"unknown";"no"
58;"retired";"married";"secondary";"no";195;"no";"no";"cellular";2;"feb";41;1;-1;0;"unknown";"no"
32;"services";"married";"secondary";"no";289;"yes";"no";"cellular";2;"feb";63;1;257;2;"failure";"no"
