"age";"job";"marital";"education";"default";"balance";"housing";"loan";"contact";"day";"month";"duration";"campaign";"pdays";"previous";"poutcome";"y"
35;"blue-collar";"married";"primary";"no";51;"yes";"no";"unknown";28;"may";593;2;-1;0;"unknown";"no"
47;"technician";"married";"secondary";"no";-938;"yes";"no";"unknown";28;"may";176;2;-1;0;"unknown";"no"
49;"blue-collar";"married";"secondary";"no";457;"yes";"yes";"unknown";28;"may";189;2;-1;0;"unknown";"no"
54;"technician";"married";"tertiary";"yes";337;"yes";"no";"unknown";28;"may";302;2;-1;0;"unknown";"no"
31;"admin.";"single";"tertiary";"no";1531;"yes";"no";"unknown";28;"may";48;5;-1;0;"unknown";"no"
26;"services";"married";"secondary";"no";33;"yes";"no";"unknown";28;"may";51;4;-1;0;"unknown";"no"
42;"technician";"divorced";"secondary";"no";0;"yes";"no";"unknown";28;"may";471;2;-1;0;"unknown";"no"
45;"technician";"single";"tertiary";"no";5336;"no";"no";"unknown";28;"may";99;2;-1;0;"unknown";"no"
36;"technician";"married";"secondary";"yes";947;"yes";"no";"unknown";28;"may";452;2;-1;0;"unknown";"no"
40;"admin.";"married";"secondary";"no";2;"no";"no";"unknown";28;"may";187;3;-1;0;"unknown";"no"
45;"admin.";"married";"secondary";"no";935;"yes";"yes";"unknown";28;"may";22;7;-1;0;"unknown";"no"
27;"management";"single";"tertiary";"no";731;"yes";"no";"unknown";28;"may";335;2;-1;0;"unknown";"no"
51;"blue-collar";"married";"primary";"no";-1;"no";"no";"unknown";28;"may";110;8;-1;0;"unknown";"no"
30;"technician";"single";"tertiary";"no";419;"yes";"yes";"unknown";28;"may";299;3;-1;0;"unknown";"no"
28;"admin.";"married";"secondary";"no";22171;"yes";"no";"unknown";28;"may";85;3;-1;0;"unknown";"no"
32;"self-employed";"married";"secondary";"no";-33;"yes";"no";"unknown";28;"may";234;3;-1;0;"unknown";"no"
57;"admin.";"divorced";"secondary";"no";-140;"yes";"no";"unknown";28;"may";264;2;-1;0;"unknown";"no"
31;"admin.";"married";"secondary";"no";439;"no";"no";"unknown";28;"may";233;4;-1;0;"unknown";"no"
47;"technician";"married";"unknown";"no";-598;"yes";"no";"unknown";28;"may";239;4;-1;0;"unknown";"no"
34;"blue-collar";"married";"secondary";"no";261;"yes";"no";"unknown";28;"may";611;3;-1;0;"unknown";"no"
50;"blue-collar";"married";"secondary";"no";-160;"yes";"no";"unknown";28;"may";600;2;-1;0;"unknown";"no"
